scene,time,raw_motion,M,O,camera_angle,camera_confidence,face_emotion,face_confidence,face_found,F,objects,emotion,scene_type,scene_type_confidence,classification_reliable
98,01:57.78-01:58.74,3.1593,0.3159,0.3662,right,0.7793,surprise,0.9693,True,0.9693,person,surprise,Comedy,0.4949,True
99,01:58.74-01:59.62,0.1585,0.0159,0.3744,right,0.8638,sad,0.8737,True,0.8737,person,sad,Comedy,0.5438,True
100,01:59.62-02:00.45,0.2475,0.0247,0.3774,right,0.5055,fear,0.7285,True,0.7285,person,fear,Comedy,0.4898,True
101,02:00.45-02:01.33,0.9564,0.0956,0.3822,left,0.6251,unknown,0.0,False,0.0,person,unknown,Comedy,0.8164,True
102,02:01.33-02:02.37,0.9763,0.0976,0.3805,left,0.5676,fear,0.465,True,0.465,person,fear,Comedy,0.5607,True
103,02:02.37-02:03.50,1.2948,0.1295,0.0,left,0.5906,unknown,0.0,False,0.0,,unknown,Comedy,0.8909,True
104,02:03.50-02:04.75,8.1239,0.8124,0.6765,left,0.942,fear,0.3563,True,0.3563,"handbag, person, refrigerator",fear,Comedy,0.8888,True
105,02:04.75-02:05.88,7.1723,0.7172,0.6656,right,0.505,happy,0.9983,True,0.9983,"bottle, oven, person",happy,Dialogue,0.8816,True
106,02:05.88-02:06.92,0.1802,0.018,0.3735,right,0.6681,angry,0.9428,True,0.9428,person,angry,Comedy,0.6969,True
107,02:06.92-02:08.09,0.5178,0.0518,0.3679,right,0.4274,neutral,0.8852,True,0.8852,person,neutral,Comedy,0.8829,True
108,02:08.09-02:08.75,0.7428,0.0743,0.464,left,0.7124,neutral,0.8878,True,0.8878,"person, tie",neutral,Comedy,0.9306,True
109,02:08.75-02:09.84,2.1996,0.22,0.5985,left,0.8602,fear,0.6882,True,0.6882,"person, tie, vase",fear,Comedy,0.9356,True
110,02:09.84-02:10.76,1.3939,0.1394,0.3675,front,0.6688,unknown,0.0,False,0.0,person,unknown,Emotional,0.4443,True
111,02:10.76-02:11.34,1.1057,0.1106,0.5705,left,0.722,unknown,0.0,False,0.0,"dog, person",unknown,Comedy,0.939,True
112,02:11.34-02:12.34,1.9097,0.191,0.0,left,0.6056,unknown,0.0,False,0.0,,unknown,Comedy,0.73,True
113,02:12.34-02:13.22,1.1393,0.1139,1.0,left,0.4568,unknown,0.0,False,0.0,"bicycle, car, person",unknown,Comedy,0.7865,True
114,02:13.22-02:14.13,8.861,0.8861,0.3759,right,0.8032,unknown,0.0,False,0.0,person,unknown,Comedy,0.7651,True
115,02:14.13-02:14.68,6.4512,0.6451,0.3753,right,0.906,unknown,0.0,False,0.0,person,unknown,Romance,0.644,True
116,02:14.68-02:15.64,2.4664,0.2466,0.6482,right,0.9102,unknown,0.0,False,0.0,"bicycle, person",unknown,Comedy,0.905,True
117,02:15.64-02:16.39,5.5708,0.5571,0.3751,right,0.8611,unknown,0.0,False,0.0,person,unknown,Comedy,0.8335,True
118,02:16.39-02:18.43,4.5592,0.4559,0.3785,left,0.5042,unknown,0.0,False,0.0,person,unknown,Romance,0.5933,True
119,02:18.43-02:19.85,4.291,0.4291,0.3818,right,0.6425,unknown,0.0,False,0.0,person,unknown,Comedy,0.6493,True
120,02:19.85-02:22.68,4.2563,0.4256,0.3695,right,0.9698,unknown,0.0,False,0.0,person,unknown,Comedy,0.8558,True
121,02:22.68-02:24.52,6.0114,0.6011,0.5242,right,0.9574,unknown,0.0,False,0.0,"person, skateboard",unknown,Romance,0.6454,True
122,02:24.52-02:26.52,5.8489,0.5849,0.3775,right,0.9599,unknown,0.0,False,0.0,person,unknown,Unknown,0.23,False
123,02:26.52-02:29.07,0.418,0.0418,0.0,left,0.7766,unknown,0.0,False,0.0,,unknown,Comedy,0.7167,True
124,02:29.07-02:30.65,4.8497,0.485,0.6921,left,0.6311,happy,0.6368,True,0.6368,"bed, couch, person",happy,Dialogue,0.6341,True
125,02:30.65-02:31.69,0.9981,0.0998,0.3707,left,0.4805,fear,0.8498,True,0.8498,person,fear,Comedy,0.7225,True
126,02:31.69-02:33.82,4.0477,0.4048,0.3819,left,0.9572,surprise,0.5481,True,0.5481,person,surprise,Comedy,0.8609,True
127,02:33.82-02:35.28,1.0734,0.1073,0.4919,left,0.8566,neutral,0.8065,True,0.8065,"couch, person",neutral,Comedy,0.4327,True
128,02:35.28-02:38.03,1.9336,0.1934,0.3782,left,0.8237,fear,0.8653,True,0.8653,person,fear,Comedy,0.5471,True
129,02:38.03-02:38.70,1.342,0.1342,0.6522,left,0.8482,surprise,0.9977,True,0.9977,"bottle, couch, person",surprise,Emotional,0.4938,True
130,02:38.70-02:42.79,6.091,0.6091,0.3849,left,0.8639,neutral,0.8388,True,0.8388,person,neutral,Emotional,0.6533,True
131,02:42.79-02:44.21,5.4788,0.5479,0.5557,right,0.9347,neutral,0.9572,True,0.9572,"person, toilet",neutral,Comedy,0.5393,True
132,02:44.21-02:45.83,0.7001,0.07,0.5738,left,0.8785,unknown,0.0,False,0.0,"book, cup, person",unknown,Romance,0.8111,True
133,02:45.83-02:46.79,4.8487,0.4849,0.5582,left,0.7729,unknown,0.0,False,0.0,"dog, person",unknown,Comedy,0.847,True
134,02:46.79-02:48.84,2.6336,0.2634,0.0,right,0.4993,unknown,0.0,False,0.0,,unknown,Romance,0.9114,True
